scenario,region,LandLeaf,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,unit
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,biomass,0,0,0,0,0,24.93890411,46.29974137,63.82259251,81.84158487,101.4148026,118.2484086,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,crops,319.163908,435.6209944,459.1029491,543.936404,591.8430078,628.2322352,664.9674478,699.212572,728.0832277,754.8745593,779.9959368,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,forest (managed),12.5726713,16.2208527,19.16629861,24.0741108,26.19008599,28.21076727,30.22642653,31.95755907,33.34838697,34.39655563,35.08794412,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,forest (unmanaged),147.6777651,126.6568622,116.0143795,102.3399435,99.28084047,95.77679035,91.16118362,86.30907471,81.46829592,76.60511902,71.95894535,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,grass,1089.50272,1090.70194,1064.428633,971.6482,940.1695124,903.3602419,856.5417937,808.3178977,760.6461541,712.9068332,667.5019946,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,otherarable,116.3465663,119.9837274,124.9518485,158.4608344,145.7755795,131.2254889,115.3796288,100.7405332,87.4541347,75.0910654,64.2326054,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,pasture (grazed),465.460977,658.805979,741.36917,763.30577,861.68981,968.37168,1115.53325,1268.21703,1417.24195,1561.238,1694.74117,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,pasture (other),2132.47363,1863.852214,1789.976904,1767.617991,1679.330641,1578.765741,1458.030691,1339.730281,1228.283533,1121.958701,1025.953419,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,rock and desert,938.54368,924.34004,922.8942999,914.44174,914.44174,914.44174,914.44174,914.44174,914.44174,914.44174,914.44174,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,shrubs,594.91214,578.0698,575.339551,565.80265,552.905466,538.303684,519.044086,498.876372,478.815295,458.698916,439.463297,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Eastern,urban,3.18541,5.58605,6.5968851,8.2136,8.2136,8.2136,8.2136,8.2136,8.2136,8.2136,8.2136,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,biomass,0,0,0,0,0,0.266886337,0.772369296,1.507372455,2.548947698,3.950660149,5.428730947,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,crops,170.1465896,193.4565164,198.779106,201.6698358,206.4133096,217.9765349,226.7411645,237.397445,248.4928767,259.5161625,268.8879586,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,forest (managed),2.12227,2.39191,2.37091,1.70771,1.81919956,1.97131913,2.11938351,2.26456065,2.39890714,2.52158962,2.63138545,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,forest (unmanaged),0,0,0,0,0,0,0,0,0,0,0,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,grass,88.32713,54.49674,53.2072,50.72815,50.464272,49.769487,49.160052,48.494055,47.795904,47.074586,46.434823,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,otherarable,95.63297,83.523199,82.681052,89.5538,87.62655,83.34966,79.91516,75.80984,71.5855,67.29047,63.49318,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,pasture (grazed),14.31009,22.8634,26.84549,33.1343,35.29,38.19531,41.05125,43.90841,46.69519,49.38079,51.8729,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,pasture (other),724.7854,746.5312,742.9468,736.5512,732.1205,723.0397,715.513,706.7098,697.4613,688.1645,679.9767,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,rock and desert,4587.08897,4580.75917,4578.68936,4577.42712,4577.42712,4577.42712,4577.42712,4577.42712,4577.42712,4577.42712,4577.42712,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,shrubs,72.47775,68.31214,65.78371,59.3818,58.993023,58.1579356,57.4546844,56.6355756,55.74829358,54.82833936,54.00124937,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Northern,urban,6.15737,8.71284,9.74701,10.89136,10.89136,10.89136,10.89136,10.89136,10.89136,10.89136,10.89136,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,biomass,0,0,0,0,0,12.47850392,25.02686099,36.96866955,49.98615559,65.40506645,80.42002968,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,crops,189.2245328,262.3196478,316.5334156,359.9508337,382.791713,408.2099921,441.3109574,476.7166703,510.8888405,544.6217366,576.8480669,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,forest (managed),24.6745456,32.3930877,33.1357251,37.8373271,40.5348232,43.5555272,46.5918797,49.6159339,52.5552158,55.4285325,58.1402543,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,forest (unmanaged),587.7326569,572.3282979,559.8991579,533.8479119,527.8419099,516.7868819,502.6026379,486.9470079,470.9371679,454.3325416,437.8785764,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,grass,2011.82171,1964.10457,1914.94267,1826.922,1808.17077,1774.54395,1731.18907,1683.999739,1635.963157,1586.284952,1537.166812,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,otherarable,103.024699,42.0662921,49.356929,117.381541,113.506926,107.226645,99.877263,92.280663,85.139074,78.242681,71.930232,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,pasture (grazed),247.2633,344.633591,416.927438,507.170873,544.736497,615.466518,708.622795,811.343092,915.01809,1020.01464,1123.18901,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,pasture (other),1933.086204,1877.310763,1805.022905,1714.845023,1682.515593,1625.813053,1554.111893,1477.302433,1400.671213,1323.010903,1247.918873,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,rock and desert,154.78993,154.46232,154.12419,153.7390858,153.7390858,153.7390858,153.7390858,153.7390858,153.7390858,153.7390858,153.7390858,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,shrubs,337.26162,336.49484,335.05074,331.7253145,329.5845694,325.6011693,320.3484054,314.5058484,308.5222715,302.3403301,296.1890873,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Southern,urban,3.71977,6.48585,7.60726,9.1793989,9.1793989,9.1793989,9.1793989,9.1793989,9.1793989,9.1793989,9.1793989,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,biomass,0,0,0,0,0,77.24686773,132.0119293,182.5366588,237.3992108,301.0132823,362.4562211,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,crops,744.8087468,1010.189895,1108.785289,1259.923103,1326.660104,1407.348587,1500.064888,1594.026193,1681.130805,1766.82782,1849.656067,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,forest (managed),36.2869927,42.3634805,42.754747,47.5545187,51.00991826,54.95966665,58.96651736,63.31578215,67.75741631,72.26904071,76.74327928,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,forest (unmanaged),2300.854103,2227.624824,2214.926879,2182.558959,2164.114713,2127.270159,2087.530161,2045.041154,1999.894546,1950.568791,1899.669499,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,grass,2549.48217,2406.01411,2345.13756,2268.62656,2241.714039,2185.141398,2126.121117,2062.790115,1998.118649,1929.957216,1862.311611,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,otherarable,185.496065,129.7730821,110.3737368,75.0018364,71.73683169,65.03230399,58.92068246,53.03150551,47.58550503,42.3169721,37.55505816,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,pasture (grazed),244.3564221,326.018419,434.1945912,502.6218213,543.1311292,612.6514551,694.7117799,791.6503492,888.6205072,984.4713602,1076.809898,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,pasture (other),2259.050312,2207.619549,2092.387254,2011.017104,1952.325078,1828.37041,1707.126096,1581.281132,1461.156041,1342.314409,1232.203064,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,rock and desert,2690.32976,2679.61445,2679.1536,2678.29155,2678.29155,2678.29155,2678.29155,2678.29155,2678.29155,2678.29155,2678.29155,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,shrubs,305.43668,280.13933,278.499856,276.527592,273.1352172,265.800627,258.3702349,250.1486863,242.1630798,234.0833799,226.4216342,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Africa_Western,urban,10.16607,16.90605,20.05617,24.14843,24.14843,24.14843,24.14843,24.14843,24.14843,24.14843,24.14843,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,biomass,0,0,0,0,0,1.251298858,3.344421053,6.065893536,9.895566219,15.17658413,20.79303888,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,crops,272.0057092,296.7409172,343.8005394,395.9142734,404.021013,419.9883282,430.6905518,439.8461028,451.4901793,465.8884557,478.0075946,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,forest (managed),21.1853484,28.277661,30.7182364,37.4140974,38.1253354,40.0921738,41.7015428,43.2652681,44.7053539,45.9223457,46.9212186,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,forest (unmanaged),139.0572687,127.9766591,122.2287571,111.1787968,110.4687848,108.2938997,106.6372981,105.1114438,103.3673567,101.3512224,99.51736774,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,grass,810.3645186,861.042255,780.77013,720.733398,718.108749,709.949581,703.76609,698.101152,691.693521,684.349833,677.681891,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,otherarable,1.909873601,8.0045292,37.9982393,73.18481441,71.71986895,67.89705101,65.13893808,62.68214783,59.94792556,56.8845288,54.21389022,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,pasture (grazed),183.6346378,399.357181,370.502501,351.600923,354.078278,371.498073,384.36922,395.580504,405.578686,414.599299,422.768529,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,pasture (other),816.4917687,640.9953395,715.8343323,733.1139702,727.8571205,709.5292044,695.9617166,683.7926684,670.9020818,656.9406707,644.4239943,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,rock and desert,144.639965,129.80752,127.831559,127.017373,127.017373,127.017373,127.017373,127.017373,127.017373,127.017373,127.017373,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,shrubs,331.4331489,231.3189086,194.5212692,174.1001409,172.8607125,168.7389307,165.6294486,162.794197,159.6580612,156.1264318,152.9122065,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,tundra,36.2052202,33.3507899,32.66600889,32.61603715,32.61603715,32.61603715,32.61603715,32.61603715,32.61603715,32.61603715,32.61603715,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Argentina,urban,5.53251594,5.588227,5.588868,5.58801199,5.58801199,5.58801199,5.58801199,5.58801199,5.58801199,5.58801199,5.58801199,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,biomass,0,0,0,0,0,1.27046163,3.435916837,6.599161751,11.75427434,19.26541664,27.44215446,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,crops,191.2199258,245.3388388,265.248287,267.0262766,285.7064277,302.911286,318.7578105,330.0393425,343.9778086,359.3468168,372.2662004,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,forest (managed),47.1528225,75.5054105,80.3577903,94.293723,100.5107272,106.1969589,111.2135126,115.9350755,120.2739264,124.3778476,127.8837898,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,forest (unmanaged),160.5618601,134.274899,134.7012798,113.9789229,113.0969698,112.0845005,111.1744112,110.3298073,109.4566718,108.5266711,107.6590481,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,grass,1085.12737,1212.50461,1460.6262,1440.4099,1432.8802,1423.7549,1415.6492,1408.159,1400.5506,1392.507,1384.9456,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,otherarable,315.8205,256.47384,169.70886,243.74079,236.923659,229.75151,223.313566,217.948741,211.935947,205.348281,199.403691,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,pasture (grazed),390.76536,517.28671,521.2774,510.02725,545.1786,592.24435,632.42343,670.25055,705.23065,740.00236,772.89247,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,pasture (other),3416.11627,3161.55996,2947.91564,2925.88059,2888.80501,2844.87229,2805.90241,2770.77893,2734.8526,2696.93882,2661.68456,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,rock and desert,13.573552,13.58764,13.41266,13.412012,13.412012,13.412012,13.412012,13.412012,13.412012,13.412012,13.412012,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,shrubs,2299.299606,2300.38064,2322.60721,2305.808004,2298.063263,2288.079101,2279.293212,2271.123204,2263.131807,2254.851911,2246.985237,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,tundra,0.346689,0.59574,0.61307,0.622911,0.622911,0.622911,0.622911,0.622911,0.622911,0.622911,0.622911,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Australia_NZ,urban,9.177394,11.65045,12.68992,13.9596377,13.9596377,13.9596377,13.9596377,13.9596377,13.9596377,13.9596377,13.9596377,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,biomass,0,0,0,0,0,7.91538621,17.16935972,27.2315874,40.64456434,57.79050737,75.68729457,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,crops,516.9507172,588.4949414,640.8768486,723.7325444,739.6006265,759.3101196,766.6994221,780.6251463,805.150379,839.7836121,867.2178947,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,forest (managed),101.0422877,153.7664243,170.8921433,185.6651011,195.4491453,206.3024942,215.64888,225.4724218,234.6631963,242.4270077,248.4039082,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,forest (unmanaged),4155.998412,3995.388764,3939.008199,3870.983401,3847.668438,3811.80104,3782.986514,3752.166605,3719.051053,3683.948477,3652.951279,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,grass,1129.16911,1021.35326,976.68172,916.08825,905.6788007,889.640625,877.6484477,865.0375422,851.7741846,837.741646,825.6111064,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,otherarable,56.748514,96.065212,133.316854,173.706392,170.0798439,164.3481141,160.2480765,155.7243906,150.5306137,144.6668613,139.6905958,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,pasture (grazed),772.9123986,895.7806414,898.6570591,988.5263695,1029.926525,1094.030697,1144.872452,1193.060131,1234.312092,1269.387729,1299.571271,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,pasture (other),1067.674028,1062.321679,1059.362,969.4284095,945.1798683,908.9963434,883.6775742,856.6650564,827.3312697,795.7991689,769.5151071,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,rock and desert,5.41669,5.12777,5.02623,4.96033,4.96033,4.96033,4.96033,4.96033,4.96033,4.96033,4.96033,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,shrubs,610.51004,589.84628,580.51809,568.03251,562.5770087,553.8230828,547.2135893,540.1873175,532.7072308,524.6260015,517.5132323,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,tundra,2.9303,2.64404,2.6594,2.6505,2.6505,2.6505,2.6505,2.6505,2.6505,2.6505,2.6505,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Brazil,urban,17.01991,25.57684,29.37024,32.59289,32.59289,32.59289,32.59289,32.59289,32.59289,32.59289,32.59289,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,biomass,0,0,0,0,0,12.91605348,29.57039805,49.24825221,76.0012307,112.3706571,149.4535032,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,crops,317.3555323,278.2508248,291.9223762,352.4886314,367.393434,381.3880856,393.7721163,403.0071538,415.5167307,427.2845952,435.0623607,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,forest (managed),593.0207837,713.1278781,510.9088103,535.6025227,569.1760372,599.3326472,625.401853,650.9467811,672.3180949,687.9707799,698.7140689,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,forest (unmanaged),3457.184364,3332.697901,3545.281195,3521.996492,3487.283936,3446.10439,3406.576708,3366.84548,3323.617673,3278.102427,3237.947652,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,grass,1134.83188,1120.26403,1144.29324,1143.90156,1139.016031,1133.128428,1127.353363,1121.71369,1115.189302,1108.220917,1102.140057,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,otherarable,199.7114,242.679933,191.838297,129.955008,124.6496584,118.7590793,113.1109095,107.9709824,101.8940525,95.67308571,90.56718543,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,pasture (grazed),8.2701319,10.501278,9.2825862,10.2996415,10.8233966,11.5154027,12.0699049,12.5469833,12.9050481,13.2022053,13.4852633,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,pasture (other),150.4163021,143.4673114,138.9065849,131.0547366,127.3727502,123.0535429,118.8215984,114.857282,110.2285239,105.4088219,101.3440075,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,rock and desert,500.45849,500.34388,500.33841,500.26974,500.26974,500.26974,500.26974,500.26974,500.26974,500.26974,500.26974,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,shrubs,783.3198923,851.6981558,868.7167509,884.10599,883.6899471,883.2053814,882.7273209,882.2697207,881.7343744,881.1715783,880.6905144,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,tundra,1963.07084,1913.87103,1905.16439,1896.6585,1896.6585,1896.6585,1896.6585,1896.6585,1896.6585,1896.6585,1896.6585,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Canada,urban,2.90716,3.64569,3.8948,4.21832,4.21832,4.21832,4.21832,4.21832,4.21832,4.21832,4.21832,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,biomass,0,0,0,0,0,4.92560675,9.776246978,14.68593967,20.30276867,26.56731931,32.45640473,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,crops,95.96937017,95.284421,103.255897,107.0172906,108.250171,111.867364,114.0367111,116.831833,119.8409827,123.0349397,125.2418752,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,forest (managed),8.52647678,10.65279597,10.66856347,11.52914387,11.91283538,12.34900911,12.69355654,12.98225242,13.20414995,13.36234153,13.47838006,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,forest (unmanaged),325.2216847,304.9812829,304.4102084,305.690246,302.4728,292.503897,284.249872,275.909119,267.447006,258.857273,251.353531,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,grass,67.575215,74.230722,75.253242,74.597372,73.705668,71.004581,68.791028,66.541815,64.284277,62.010552,60.034,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,otherarable,40.557364,54.030738,45.058233,35.460311,34.650937,31.908658,29.77926,27.636757,25.539973,23.488174,21.798626,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,pasture (grazed),78.913355,79.486949,92.330588,106.345999,110.731127,120.38826,128.191771,135.472128,141.942181,147.702241,152.745523,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,pasture (other),73.181161,69.6270001,56.7009938,46.3991732,45.3577622,42.2806512,39.8315849,37.4118671,35.0341344,32.6991042,30.7239874,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,shrubs,4.91812395,4.70074417,4.65404377,4.54910377,4.50651187,4.36084837,4.23887627,4.11694067,3.99297587,3.86653757,3.75622697,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central America and Caribbean,urban,3.87768892,5.7453479,6.4082278,7.1515458,7.1515458,7.1515458,7.1515458,7.1515458,7.1515458,7.1515458,7.1515458,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,biomass,0,0,0,0,0,0.766929346,2.284068479,4.584160591,8.298363307,14.12261279,20.47182607,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,crops,344.8265471,256.459641,276.8498367,282.2079035,290.8884291,304.3872981,316.6646688,329.1497356,341.1540468,353.4554559,363.325724,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,forest (managed),3.12216615,1.72235492,1.06245321,1.54068652,1.648283006,1.771519829,1.875708812,1.977125286,2.074854333,2.170194664,2.255300969,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,forest (unmanaged),31.47872985,35.06512421,32.14394567,35.39732087,35.31545271,35.10302942,34.86373489,34.61109123,34.35056143,34.07439118,33.82815721,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,grass,615.4065187,591.778491,456.0160901,603.86201,602.4499016,600.2219645,598.1120897,595.9594967,593.8035554,591.5579364,589.513392,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,otherarable,46.2907124,100.2683647,87.7157616,79.3437754,77.96672455,75.82428497,73.8668701,71.87992781,69.90489438,67.8130388,65.98760693,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,pasture (grazed),189.7338884,98.0079756,123.2197201,157.7972134,168.9235357,184.7693182,198.5139655,211.6608614,223.7777526,234.8756359,244.8033227,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,pasture (other),3383.839623,3611.445582,3793.030956,3533.141834,3517.032178,3492.795427,3470.771113,3448.466915,3426.247291,3402.881111,3381.965686,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,rock and desert,247.496002,221.68939,218.36568,221.86114,221.86114,221.86114,221.86114,221.86114,221.86114,221.86114,221.86114,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,shrubs,650.7175661,601.4935669,535.8257018,603.134831,602.201774,600.7868836,599.4745881,598.1379832,596.8153297,595.4748637,594.2743485,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,tundra,98.3918648,92.5468,85.6923711,90.5625811,90.5625811,90.5625811,90.5625811,90.5625811,90.5625811,90.5625811,90.5625811,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",Central Asia,urban,7.18558861,8.01232111,8.56824211,9.639523,9.639523,9.639523,9.639523,9.639523,9.639523,9.639523,9.639523,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",China,biomass,0,0,0,0,0,14.17063203,38.24240301,67.84440667,105.6859386,153.6235524,203.3063545,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",China,crops,1187.3458,1184.579672,1139.560439,1155.383863,1159.095229,1166.222255,1160.217574,1147.734654,1133.413124,1117.347431,1095.355553,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",China,forest (managed),524.2350551,538.0460776,920.0230281,1335.665127,1410.754019,1469.665476,1507.573912,1536.158165,1554.038909,1562.626077,1562.471492,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",China,forest (unmanaged),839.525791,819.7307274,482.4899153,67.57267971,64.02430348,60.75614646,58.50136304,56.72129145,55.26742865,53.95411888,53.11000323,thous km2
"Reference,date=2024-26-10T11:33:32-04:00",China,grass,923.1198355,982.750318,1004.077709,1003.987249,968.114378,935.064403,912.31579,894.5173496,880.134303,867.2350038,859.1669601,thous km2
